Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
05_Ratings,,,,2022-05-10 22:54:01,2022-05-10 22:54:08,7.058s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC01_GetProductRatings,,,,2022-05-10 22:54:01,2022-05-10 22:54:04,2.507s,FAILED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GetProductRatings""))",,,,2022-05-10 22:54:02,2022-05-10 22:54:04,1.849s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:54:04,2022-05-10 22:54:04,0.047s,FAILED
"verifyElementPropertyValue(Response, ""data"", 5)",,,,2022-05-10 22:54:04,2022-05-10 22:54:04,0.078s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC02_GiveRatingToProduct,,,,2022-05-10 22:54:04,2022-05-10 22:54:05,0.832s,FAILED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GiveRatingToProduct""))",,,,2022-05-10 22:54:04,2022-05-10 22:54:05,0.406s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:54:05,2022-05-10 22:54:05,0.000s,FAILED
"verifyElementPropertyValue(Response, ""data.ID"", 478)",,,,2022-05-10 22:54:05,2022-05-10 22:54:05,0.049s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC03_GiveRatingtoProductInvalidRating,,,,2022-05-10 22:54:05,2022-05-10 22:54:06,1.770s,FAILED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GiveRatingToProduct_InvalidRating""))",,,,2022-05-10 22:54:05,2022-05-10 22:54:06,1.364s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-10 22:54:06,2022-05-10 22:54:06,0.016s,FAILED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""ratings"" violates check constraint ""ratings_count_check"" (SQLSTATE 23514)"")",,,,2022-05-10 22:54:06,2022-05-10 22:54:06,0.031s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC04_GiveRatingToProductEmptyToken,,,,2022-05-10 22:54:06,2022-05-10 22:54:07,0.782s,FAILED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GiveRatingToProduct_EmptyToken""))",,,,2022-05-10 22:54:07,2022-05-10 22:54:07,0.406s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:54:07,2022-05-10 22:54:07,0.016s,FAILED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 22:54:07,2022-05-10 22:54:07,0.031s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC05_GiveRatingToProductInvalidToken,,,,2022-05-10 22:54:07,2022-05-10 22:54:08,0.754s,PASSED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GiveRatingToProduct_InvalidToken""))",,,,2022-05-10 22:54:07,2022-05-10 22:54:08,0.425s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:54:08,2022-05-10 22:54:08,0.015s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 22:54:08,2022-05-10 22:54:08,0.047s,PASSED
