Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
04_Transactions,,,,2022-05-10 23:41:41,2022-05-10 23:41:50,9.013s,FAILED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC02_CreateTransactions,,,,2022-05-10 23:41:41,2022-05-10 23:41:44,2.607s,FAILED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions""))",,,,2022-05-10 23:41:42,2022-05-10 23:41:44,1.860s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 23:41:44,2022-05-10 23:41:44,0.031s,PASSED
"verifyElementPropertyValue(Response, ""data[0].User.ID"", 840)",,,,2022-05-10 23:41:44,2022-05-10 23:41:44,0.156s,FAILED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC03_CreateTransactionsInvalidId,,,,2022-05-10 23:41:44,2022-05-10 23:41:45,0.922s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidProductID""))",,,,2022-05-10 23:41:44,2022-05-10 23:41:45,0.438s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 23:41:45,2022-05-10 23:41:45,0.015s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 's' after object key:value pair"")",,,,2022-05-10 23:41:45,2022-05-10 23:41:45,0.032s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC04_CreateTransactionsInvalidQuantity,,,,2022-05-10 23:41:45,2022-05-10 23:41:46,0.766s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidQuantity""))",,,,2022-05-10 23:41:45,2022-05-10 23:41:45,0.422s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 23:41:45,2022-05-10 23:41:45,0.016s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 'I' looking for beginning of value"")",,,,2022-05-10 23:41:45,2022-05-10 23:41:46,0.031s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC05_CreateTransactionsEmptyData,,,,2022-05-10 23:41:46,2022-05-10 23:41:46,0.703s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_EmptyData""))",,,,2022-05-10 23:41:46,2022-05-10 23:41:46,0.344s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 23:41:46,2022-05-10 23:41:46,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""EOF"")",,,,2022-05-10 23:41:46,2022-05-10 23:41:46,0.031s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC06_GetAllTransactionsInvalidToken,,,,2022-05-10 23:41:46,2022-05-10 23:41:47,0.671s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions_InvalidToken""))",,,,2022-05-10 23:41:47,2022-05-10 23:41:47,0.359s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 23:41:47,2022-05-10 23:41:47,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 23:41:47,2022-05-10 23:41:47,0.031s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC07_CreateTransactionsInvalidToken,,,,2022-05-10 23:41:47,2022-05-10 23:41:48,0.688s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidToken""))",,,,2022-05-10 23:41:47,2022-05-10 23:41:48,0.375s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 23:41:48,2022-05-10 23:41:48,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 23:41:48,2022-05-10 23:41:48,0.047s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC08_CreateTransactionsEmptyToken,,,,2022-05-10 23:41:48,2022-05-10 23:41:48,0.640s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_EmptyToken""))",,,,2022-05-10 23:41:48,2022-05-10 23:41:48,0.297s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 23:41:48,2022-05-10 23:41:48,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 23:41:48,2022-05-10 23:41:48,0.031s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC09_GetAllTransactionsEmptyToken,,,,2022-05-10 23:41:48,2022-05-10 23:41:49,0.797s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions_EmptyToken""))",,,,2022-05-10 23:41:49,2022-05-10 23:41:49,0.360s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 23:41:49,2022-05-10 23:41:49,0.015s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 23:41:49,2022-05-10 23:41:49,0.032s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC01_GetAllTransactions,,,,2022-05-10 23:41:49,2022-05-10 23:41:50,0.719s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions""))",,,,2022-05-10 23:41:49,2022-05-10 23:41:50,0.344s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 23:41:50,2022-05-10 23:41:50,0.016s,PASSED
"verifyElementPropertyValue(Response, ""data"", ""[]"")",,,,2022-05-10 23:41:50,2022-05-10 23:41:50,0.031s,PASSED
