Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WEB,Chrome 101.0.4951.54,,,2022-05-13 23:01:21,2022-05-13 23:08:35,7m - 13.639s,FAILED
,,,,,,,
Test Cases/WEB/Auth/Register,Chrome 101.0.4951.54,,,2022-05-13 23:01:22,2022-05-13 23:02:12,49.912s,FAILED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 23:01:23,2022-05-13 23:01:27,4.623s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-13 23:01:27,2022-05-13 23:01:28,0.260s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-13 23:01:28,2022-05-13 23:01:30,1.937s,PASSED
"click(findTestObject(""WEB/Auth/Login/login_ico""))",Chrome 101.0.4951.54,,,2022-05-13 23:01:30,2022-05-13 23:01:35,5.320s,PASSED
"click(findTestObject(""WEB/Auth/Register/register_a""))",Chrome 101.0.4951.54,,,2022-05-13 23:01:35,2022-05-13 23:01:36,0.863s,PASSED
"for ([i = 1, i <= 7, (i++)])",Chrome 101.0.4951.54,,,2022-05-13 23:01:36,2022-05-13 23:02:11,34.839s,FAILED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 23:02:11,2022-05-13 23:02:12,1.240s,PASSED
,,,,,,,
Test Cases/WEB/Auth/Login,Chrome 101.0.4951.54,,,2022-05-13 23:02:12,2022-05-13 23:03:27,1m - 15.422s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 23:02:12,2022-05-13 23:02:14,1.839s,PASSED
"for ([i = 1, i <= 6, (i++)])",Chrome 101.0.4951.54,,,2022-05-13 23:02:14,2022-05-13 23:03:26,1m - 12.074s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 23:03:26,2022-05-13 23:03:27,0.944s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/DetailProduct,Chrome 101.0.4951.54,,,2022-05-13 23:03:27,2022-05-13 23:04:13,46.003s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 23:03:28,2022-05-13 23:03:30,2.211s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-13 23:03:30,2022-05-13 23:03:30,0.176s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-13 23:03:30,2022-05-13 23:03:32,1.716s,PASSED
"name = getText(findTestObject(""WEB/Homepage/DetailProduct/HP_name""))",Chrome 101.0.4951.54,,,2022-05-13 23:03:32,2022-05-13 23:03:37,5.024s,PASSED
"click(findTestObject(""WEB/Homepage/DetailProduct/button_Detail""))",Chrome 101.0.4951.54,,,2022-05-13 23:03:37,2022-05-13 23:03:38,0.544s,PASSED
"d_name = getText(findTestObject(""WEB/Homepage/DetailProduct/Detail_name""))",Chrome 101.0.4951.54,,,2022-05-13 23:03:38,2022-05-13 23:04:12,34.552s,PASSED
"verifyEqual(name, d_name)",Chrome 101.0.4951.54,,,2022-05-13 23:04:12,2022-05-13 23:04:12,0.047s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 23:04:12,2022-05-13 23:04:13,1.203s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/AddToCart,Chrome 101.0.4951.54,,,2022-05-13 23:04:13,2022-05-13 23:04:41,27.785s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 23:04:14,2022-05-13 23:04:16,1.758s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-13 23:04:16,2022-05-13 23:04:16,0.147s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-13 23:04:16,2022-05-13 23:04:20,3.975s,PASSED
"callTestCase(findTestCase(""WEB/Auth/Login_Success""), [:], CONTINUE_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-13 23:04:20,2022-05-13 23:04:37,17.305s,PASSED
"click(findTestObject(""WEB/Homepage/AddToCart/button_Beli""))",Chrome 101.0.4951.54,,,2022-05-13 23:04:37,2022-05-13 23:04:38,0.536s,PASSED
"name = getText(findTestObject(""WEB/Homepage/AddToCart/div_name""))",Chrome 101.0.4951.54,,,2022-05-13 23:04:38,2022-05-13 23:04:38,0.455s,PASSED
"click(findTestObject(""WEB/Homepage/AddToCart/button_Cart""))",Chrome 101.0.4951.54,,,2022-05-13 23:04:38,2022-05-13 23:04:39,0.608s,PASSED
"cName = getText(findTestObject(""WEB/Homepage/AddToCart/div_cartName""))",Chrome 101.0.4951.54,,,2022-05-13 23:04:39,2022-05-13 23:04:39,0.758s,PASSED
"verifyEqual(name, cName)",Chrome 101.0.4951.54,,,2022-05-13 23:04:39,2022-05-13 23:04:39,0.000s,PASSED
"verifyElementText(findTestObject(""WEB/Homepage/AddToCart/jml_product""), ""1"")",Chrome 101.0.4951.54,,,2022-05-13 23:04:39,2022-05-13 23:04:40,0.494s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 23:04:40,2022-05-13 23:04:41,1.278s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/IncreaseQuantity,Chrome 101.0.4951.54,,,2022-05-13 23:04:41,2022-05-13 23:05:09,28.067s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 23:04:42,2022-05-13 23:04:43,1.821s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-13 23:04:43,2022-05-13 23:04:44,0.173s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-13 23:04:44,2022-05-13 23:04:46,2.476s,PASSED
"callTestCase(findTestCase(""WEB/Auth/Login_Success""), [:], CONTINUE_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-13 23:04:46,2022-05-13 23:05:04,17.525s,PASSED
"click(findTestObject(""WEB/Homepage/AddToCart/button_Beli""))",Chrome 101.0.4951.54,,,2022-05-13 23:05:04,2022-05-13 23:05:04,0.524s,PASSED
"click(findTestObject(""WEB/Homepage/AddToCart/button_Cart""))",Chrome 101.0.4951.54,,,2022-05-13 23:05:04,2022-05-13 23:05:05,0.559s,PASSED
"jml = getText(findTestObject(""WEB/Homepage/AddToCart/jml_product""))",Chrome 101.0.4951.54,,,2022-05-13 23:05:05,2022-05-13 23:05:05,0.659s,PASSED
"price = Integer.parseInt(getText(findTestObject(""WEB/Transactions/IncreaseQuantity/price"")))",Chrome 101.0.4951.54,,,2022-05-13 23:05:05,2022-05-13 23:05:06,0.511s,PASSED
"total_awal = Integer.parseInt(getText(findTestObject(""WEB/Transactions/IncreaseQuantity/total_price"")))",Chrome 101.0.4951.54,,,2022-05-13 23:05:06,2022-05-13 23:05:06,0.469s,PASSED
"click(findTestObject(""WEB/Transactions/IncreaseQuantity/add_quantity""))",Chrome 101.0.4951.54,,,2022-05-13 23:05:06,2022-05-13 23:05:07,0.493s,PASSED
"jml_2 = getText(findTestObject(""WEB/Homepage/AddToCart/jml_product""))",Chrome 101.0.4951.54,,,2022-05-13 23:05:07,2022-05-13 23:05:07,0.528s,PASSED
