Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
04_Transactions,,,,2022-05-10 23:00:15,2022-05-10 23:00:30,15.198s,ERROR
,,,,,,,
Test Cases/REST_API/04_Transactions/TC02_CreateTransactions,,,,2022-05-10 23:00:16,2022-05-10 23:00:20,4.232s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions""))",,,,2022-05-10 23:00:17,2022-05-10 23:00:20,3.074s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 23:00:20,2022-05-10 23:00:20,0.034s,PASSED
"verifyElementPropertyValue(Response, ""data[0].User.ID"", 132)",,,,2022-05-10 23:00:20,2022-05-10 23:00:20,0.098s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC03_CreateTransactionsInvalidId,,,,2022-05-10 23:00:20,2022-05-10 23:00:21,0.999s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidProductID""))",,,,2022-05-10 23:00:20,2022-05-10 23:00:21,0.477s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 23:00:21,2022-05-10 23:00:21,0.010s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 's' after object key:value pair"")",,,,2022-05-10 23:00:21,2022-05-10 23:00:21,0.027s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC04_CreateTransactionsInvalidQuantity,,,,2022-05-10 23:00:21,2022-05-10 23:00:23,1.998s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidQuantity""))",,,,2022-05-10 23:00:21,2022-05-10 23:00:23,1.607s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 23:00:23,2022-05-10 23:00:23,0.013s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 'I' looking for beginning of value"")",,,,2022-05-10 23:00:23,2022-05-10 23:00:23,0.044s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC05_CreateTransactionsEmptyData,,,,2022-05-10 23:00:23,2022-05-10 23:00:24,0.917s,ERROR
"sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_EmptyData""))",,,,2022-05-10 23:00:23,2022-05-10 23:00:24,0.384s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 23:00:24,2022-05-10 23:00:24,0.029s,ERROR
,,,,,,,
Test Cases/REST_API/04_Transactions/TC06_GetAllTransactionsInvalidToken,,,,2022-05-10 23:00:24,2022-05-10 23:00:25,1.131s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions_InvalidToken""))",,,,2022-05-10 23:00:25,2022-05-10 23:00:25,0.386s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 23:00:25,2022-05-10 23:00:25,0.007s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 23:00:25,2022-05-10 23:00:25,0.045s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC07_CreateTransactionsInvalidToken,,,,2022-05-10 23:00:25,2022-05-10 23:00:26,1.201s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidToken""))",,,,2022-05-10 23:00:25,2022-05-10 23:00:26,0.701s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 23:00:26,2022-05-10 23:00:26,0.012s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 23:00:26,2022-05-10 23:00:26,0.055s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC08_CreateTransactionsEmptyToken,,,,2022-05-10 23:00:26,2022-05-10 23:00:27,1.175s,FAILED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_EmptyToken""))",,,,2022-05-10 23:00:27,2022-05-10 23:00:27,0.460s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 23:00:27,2022-05-10 23:00:27,0.018s,FAILED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 23:00:27,2022-05-10 23:00:27,0.038s,FAILED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC09_GetAllTransactionsEmptyToken,,,,2022-05-10 23:00:27,2022-05-10 23:00:29,1.159s,FAILED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions_EmptyToken""))",,,,2022-05-10 23:00:28,2022-05-10 23:00:29,0.353s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 23:00:29,2022-05-10 23:00:29,0.004s,FAILED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 23:00:29,2022-05-10 23:00:29,0.038s,FAILED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC01_GetAllTransactions,,,,2022-05-10 23:00:29,2022-05-10 23:00:30,1.619s,FAILED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions""))",,,,2022-05-10 23:00:30,2022-05-10 23:00:30,0.574s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 23:00:30,2022-05-10 23:00:30,0.005s,FAILED
"verifyElementPropertyValue(Response, ""data[0].Name"", ""Panci"")",,,,2022-05-10 23:00:30,2022-05-10 23:00:30,0.042s,FAILED
