Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MOBILE,,,,2022-05-17 01:17:50,2022-05-17 01:27:31,9m - 40.636s,FAILED
,,,,,,,
Test Cases/MOBILE/Auth/Register,,,,2022-05-17 01:17:51,2022-05-17 01:22:24,4m - 32.547s,FAILED
"for ([i = 1, i <= 7, (i++)])",,,,2022-05-17 01:17:54,2022-05-17 01:22:24,4m - 29.774s,FAILED
,,,,,,,
Test Cases/MOBILE/Auth/Login,,,,2022-05-17 01:22:24,2022-05-17 01:25:03,2m - 39.296s,PASSED
"for ([i = 1, i <= 7, (i++)])",,,,2022-05-17 01:22:25,2022-05-17 01:25:03,2m - 38.094s,PASSED
closeApplication(),,,,2022-05-17 01:25:03,2022-05-17 01:25:03,0.432s,PASSED
,,,,,,,
Test Cases/MOBILE/Auth/Logout,,,,2022-05-17 01:25:03,2022-05-17 01:27:31,2m - 27.336s,FAILED
"callTestCase(findTestCase(""MOBILE/Auth/Login_Success""), [:], CONTINUE_ON_FAILURE)",,,,2022-05-17 01:25:04,2022-05-17 01:27:28,2m - 24.364s,FAILED
"tap(findTestObject(""MOBILE/Auth/Login/android.widget.Button - Logout""), 0)",,,,2022-05-17 01:27:28,2022-05-17 01:27:29,1.352s,PASSED
"verifyElementVisible(findTestObject(""MOBILE/Auth/Login/android.widget.Button - Login Button""), 0)",,,,2022-05-17 01:27:29,2022-05-17 01:27:30,0.666s,PASSED
closeApplication(),,,,2022-05-17 01:27:30,2022-05-17 01:27:31,0.570s,PASSED
