Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
02_Products,,,,2022-05-07 12:58:46,2022-05-07 12:58:57,11.898s,PASSED
,,,,,,,
Test Cases/REST_API/TC08_GetAllProduct,,,,2022-05-07 12:58:46,2022-05-07 12:58:49,3.330s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/GetAllProduct""))",,,,2022-05-07 12:58:47,2022-05-07 12:58:49,2.399s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-07 12:58:49,2022-05-07 12:58:49,0.128s,PASSED
"verifyElementPropertyValue(Response, ""data[0].ID"", 368)",,,,2022-05-07 12:58:49,2022-05-07 12:58:49,0.168s,PASSED
,,,,,,,
Test Cases/REST_API/TC09_GetProductById,,,,2022-05-07 12:58:49,2022-05-07 12:58:51,1.110s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/GetProductById""))",,,,2022-05-07 12:58:50,2022-05-07 12:58:51,0.580s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-07 12:58:51,2022-05-07 12:58:51,0.016s,PASSED
"verifyElementPropertyValue(Response, ""data.ID"", 293)",,,,2022-05-07 12:58:51,2022-05-07 12:58:51,0.052s,PASSED
,,,,,,,
Test Cases/REST_API/TC10_GetProductByInvalidId,,,,2022-05-07 12:58:51,2022-05-07 12:58:52,1.191s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/GetProductById_InvalidID""))",,,,2022-05-07 12:58:51,2022-05-07 12:58:52,0.647s,PASSED
"verifyResponseStatusCode(Response, 404)",,,,2022-05-07 12:58:52,2022-05-07 12:58:52,0.015s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""record not found"")",,,,2022-05-07 12:58:52,2022-05-07 12:58:52,0.049s,PASSED
,,,,,,,
Test Cases/REST_API/TC11_CreateProduct,,,,2022-05-07 12:58:52,2022-05-07 12:58:53,0.963s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/CreateProduct""))",,,,2022-05-07 12:58:52,2022-05-07 12:58:53,0.435s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-07 12:58:53,2022-05-07 12:58:53,0.000s,PASSED
"verifyElementPropertyValue(Response, ""data.Name"", ""Tensi Darah Elektrik"")",,,,2022-05-07 12:58:53,2022-05-07 12:58:53,0.074s,PASSED
,,,,,,,
Test Cases/REST_API/TC12_CreateProductDecimalPrice,,,,2022-05-07 12:58:53,2022-05-07 12:58:54,1.024s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/CreateProduct_DecimalPrice""))",,,,2022-05-07 12:58:53,2022-05-07 12:58:54,0.513s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-07 12:58:54,2022-05-07 12:58:54,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""json: cannot unmarshal number 2400.00 into Go struct field ProductCreate.price of type uint"")",,,,2022-05-07 12:58:54,2022-05-07 12:58:54,0.031s,PASSED
,,,,,,,
Test Cases/REST_API/TC13_CreateProductEmptyName,,,,2022-05-07 12:58:54,2022-05-07 12:58:55,1.353s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/CreateProduct_EmptyName""))",,,,2022-05-07 12:58:54,2022-05-07 12:58:55,0.861s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-07 12:58:55,2022-05-07 12:58:55,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""products"" violates check constraint ""products_name_check"" (SQLSTATE 23514)"")",,,,2022-05-07 12:58:55,2022-05-07 12:58:55,0.047s,PASSED
,,,,,,,
Test Cases/REST_API/TC14_DeleteProductById,,,,2022-05-07 12:58:55,2022-05-07 12:58:57,1.357s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/DeleteProductById""))",,,,2022-05-07 12:58:56,2022-05-07 12:58:56,0.928s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-07 12:58:56,2022-05-07 12:58:56,0.016s,PASSED
"verifyElementPropertyValue(Response, ""data"", null)",,,,2022-05-07 12:58:56,2022-05-07 12:58:57,0.031s,PASSED
,,,,,,,
Test Cases/REST_API/TC15_UpdateProductById,,,,2022-05-07 12:58:57,2022-05-07 12:58:57,0.931s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/UpdateProductById""))",,,,2022-05-07 12:58:57,2022-05-07 12:58:57,0.388s,PASSED
"verifyResponseStatusCode(Response, 405)",,,,2022-05-07 12:58:57,2022-05-07 12:58:57,0.000s,PASSED
