Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
05_Ratings,,,,2022-05-10 22:56:33,2022-05-10 22:56:40,6.992s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC01_GetProductRatings,,,,2022-05-10 22:56:33,2022-05-10 22:56:36,2.840s,FAILED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GetProductRatings""))",,,,2022-05-10 22:56:34,2022-05-10 22:56:36,2.144s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:56:36,2022-05-10 22:56:36,0.053s,FAILED
"verifyElementPropertyValue(Response, ""data"", 5)",,,,2022-05-10 22:56:36,2022-05-10 22:56:36,0.098s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC02_GiveRatingToProduct,,,,2022-05-10 22:56:36,2022-05-10 22:56:37,1.089s,FAILED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GiveRatingToProduct""))",,,,2022-05-10 22:56:37,2022-05-10 22:56:37,0.654s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:56:37,2022-05-10 22:56:37,0.008s,FAILED
"verifyElementPropertyValue(Response, ""data.ID"", 478)",,,,2022-05-10 22:56:37,2022-05-10 22:56:37,0.048s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC03_GiveRatingtoProductInvalidRating,,,,2022-05-10 22:56:37,2022-05-10 22:56:38,1.054s,FAILED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GiveRatingToProduct_InvalidRating""))",,,,2022-05-10 22:56:38,2022-05-10 22:56:38,0.693s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-10 22:56:38,2022-05-10 22:56:38,0.007s,FAILED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""ratings"" violates check constraint ""ratings_count_check"" (SQLSTATE 23514)"")",,,,2022-05-10 22:56:38,2022-05-10 22:56:38,0.031s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC04_GiveRatingToProductEmptyToken,,,,2022-05-10 22:56:38,2022-05-10 22:56:39,0.748s,FAILED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GiveRatingToProduct_EmptyToken""))",,,,2022-05-10 22:56:39,2022-05-10 22:56:39,0.393s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:56:39,2022-05-10 22:56:39,0.005s,FAILED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 22:56:39,2022-05-10 22:56:39,0.023s,FAILED
,,,,,,,
Test Cases/REST_API/05_Ratings/TC05_GiveRatingToProductInvalidToken,,,,2022-05-10 22:56:39,2022-05-10 22:56:40,0.790s,PASSED
"Response = sendRequest(findTestObject(""REST_API/05_Ratings/GiveRatingToProduct_InvalidToken""))",,,,2022-05-10 22:56:39,2022-05-10 22:56:40,0.431s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:56:40,2022-05-10 22:56:40,0.013s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 22:56:40,2022-05-10 22:56:40,0.041s,PASSED
