Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WEB,Chrome 101.0.4951.54,,,2022-05-13 20:54:10,2022-05-13 21:11:42,17m - 31.979s,FAILED
,,,,,,,
Test Cases/WEB/Homepage/DetailProduct,Chrome 101.0.4951.54,,,2022-05-13 20:54:11,2022-05-13 20:54:41,29.838s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 20:54:12,2022-05-13 20:54:19,6.576s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-13 20:54:19,2022-05-13 20:54:20,0.548s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-13 20:54:20,2022-05-13 20:54:23,3.130s,PASSED
"name = getText(findTestObject(""WEB/Homepage/DetailProduct/HP_name""))",Chrome 101.0.4951.54,,,2022-05-13 20:54:23,2022-05-13 20:54:38,15.241s,PASSED
"click(findTestObject(""WEB/Homepage/DetailProduct/button_Detail""))",Chrome 101.0.4951.54,,,2022-05-13 20:54:38,2022-05-13 20:54:39,0.655s,PASSED
"d_name = getText(findTestObject(""WEB/Homepage/DetailProduct/Detail_name""))",Chrome 101.0.4951.54,,,2022-05-13 20:54:39,2022-05-13 20:54:40,1.421s,PASSED
"verifyEqual(name, d_name)",Chrome 101.0.4951.54,,,2022-05-13 20:54:40,2022-05-13 20:54:40,0.038s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 20:54:40,2022-05-13 20:54:41,1.129s,PASSED
,,,,,,,
Test Cases/WEB/Auth/Login,Chrome 101.0.4951.54,,,2022-05-13 20:54:41,2022-05-13 20:57:31,2m - 49.781s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 20:54:42,2022-05-13 20:54:44,2.166s,PASSED
"for ([i = 1, i <= 6, (i++)])",Chrome 101.0.4951.54,,,2022-05-13 20:54:44,2022-05-13 20:57:30,2m - 45.607s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 20:57:30,2022-05-13 20:57:31,0.953s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/AddToCart,Chrome 101.0.4951.54,,,2022-05-13 20:57:31,2022-05-13 20:57:58,26.736s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 20:57:32,2022-05-13 20:57:33,1.902s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-13 20:57:33,2022-05-13 20:57:34,0.169s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-13 20:57:34,2022-05-13 20:57:36,2.504s,PASSED
"callTestCase(findTestCase(""WEB/Auth/Login_Success""), [:], CONTINUE_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-13 20:57:36,2022-05-13 20:57:54,17.647s,PASSED
"click(findTestObject(""WEB/Homepage/AddToCart/button_Beli""))",Chrome 101.0.4951.54,,,2022-05-13 20:57:54,2022-05-13 20:57:54,0.551s,PASSED
"name = getText(findTestObject(""WEB/Homepage/AddToCart/div_name""))",Chrome 101.0.4951.54,,,2022-05-13 20:57:54,2022-05-13 20:57:55,0.610s,PASSED
"click(findTestObject(""WEB/Homepage/AddToCart/button_Cart""))",Chrome 101.0.4951.54,,,2022-05-13 20:57:55,2022-05-13 20:57:56,0.603s,PASSED
"cName = getText(findTestObject(""WEB/Homepage/AddToCart/div_cartName""))",Chrome 101.0.4951.54,,,2022-05-13 20:57:56,2022-05-13 20:57:56,0.665s,PASSED
"verifyEqual(name, cName)",Chrome 101.0.4951.54,,,2022-05-13 20:57:56,2022-05-13 20:57:56,0.000s,PASSED
"verifyElementText(findTestObject(""WEB/Homepage/AddToCart/jml_product""), ""1"")",Chrome 101.0.4951.54,,,2022-05-13 20:57:56,2022-05-13 20:57:57,0.585s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 20:57:57,2022-05-13 20:57:58,0.891s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/IncreaseQuantity,Chrome 101.0.4951.54,,,2022-05-13 20:57:58,2022-05-13 20:59:12,1m - 13.955s,FAILED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 20:57:58,2022-05-13 20:58:00,1.855s,PASSED
